attackName(TM/HM),pokemonName
Roar,Vulpix
Toxic,Vulpix
Hidden Power,Vulpix
Sunny Day,Vulpix
Protect,Vulpix
Safeguard,Vulpix
Frustration,Vulpix
Return,Vulpix
Dig,Vulpix
Double Team,Vulpix
Flamethrower,Vulpix
Fire Blast,Vulpix
Facade,Vulpix
Flame Charge,Vulpix
Rest,Vulpix
Attract,Vulpix
Round,Vulpix
Overheat,Vulpix
Energy Ball,Vulpix
Incinerate,Vulpix
Will-O-Wisp,Vulpix
Payback,Vulpix
Psych Up,Vulpix
Swagger,Vulpix
Sleep Talk,Vulpix
Substitute,Vulpix
Secret PowerORAS,Vulpix
Dark Pulse,Vulpix
Confide,Vulpix
Psyshock,Ninetales
Calm Mind,Ninetales
Roar,Ninetales
Toxic,Ninetales
Hidden Power,Ninetales
Sunny Day,Ninetales
Hyper Beam,Ninetales
Protect,Ninetales
Safeguard,Ninetales
Frustration,Ninetales
Solar Beam,Ninetales
Return,Ninetales
Dig,Ninetales
Double Team,Ninetales
Flamethrower,Ninetales
Fire Blast,Ninetales
Facade,Ninetales
Flame Charge,Ninetales
Rest,Ninetales
Attract,Ninetales
Round,Ninetales
Overheat,Ninetales
Energy Ball,Ninetales
Incinerate,Ninetales
Will-O-Wisp,Ninetales
Payback,Ninetales
Giga Impact,Ninetales
Psych Up,Ninetales
Dream Eater,Ninetales
Swagger,Ninetales
Sleep Talk,Ninetales
Substitute,Ninetales
Secret PowerORAS,Ninetales
Dark Pulse,Ninetales
Confide,Ninetales
Toxic,Jigglypuff
Hidden Power,Jigglypuff
Sunny Day,Jigglypuff
Ice Beam,Jigglypuff
Blizzard,Jigglypuff
Light Screen,Jigglypuff
Protect,Jigglypuff
Rain Dance,Jigglypuff
Safeguard,Jigglypuff
Frustration,Jigglypuff
Solar Beam,Jigglypuff
Thunderbolt,Jigglypuff
Thunder,Jigglypuff
Return,Jigglypuff
Dig,Jigglypuff
Psychic,Jigglypuff
Shadow Ball,Jigglypuff
Brick Break,Jigglypuff
Double Team,Jigglypuff
Reflect,Jigglypuff
Flamethrower,Jigglypuff
Fire Blast,Jigglypuff
Facade,Jigglypuff
Rest,Jigglypuff
Attract,Jigglypuff
Round,Jigglypuff
Echoed Voice,Jigglypuff
Fling,Jigglypuff
Charge Beam,Jigglypuff
Incinerate,Jigglypuff
Retaliate,Jigglypuff
Flash,Jigglypuff
Thunder Wave,Jigglypuff
Gyro Ball,Jigglypuff
Psych Up,Jigglypuff
Dream Eater,Jigglypuff
Grass Knot,Jigglypuff
Swagger,Jigglypuff
Sleep Talk,Jigglypuff
Substitute,Jigglypuff
Wild Charge,Jigglypuff
Secret PowerORAS,Jigglypuff
Power-Up Punch,Jigglypuff
Dazzling Gleam,Jigglypuff
Confide,Jigglypuff
Strength,Jigglypuff
Toxic,Wigglytuff
Hidden Power,Wigglytuff
Sunny Day,Wigglytuff
Ice Beam,Wigglytuff
Blizzard,Wigglytuff
Hyper Beam,Wigglytuff
Light Screen,Wigglytuff
Protect,Wigglytuff
Rain Dance,Wigglytuff
Safeguard,Wigglytuff
Frustration,Wigglytuff
Solar Beam,Wigglytuff
Thunderbolt,Wigglytuff
Thunder,Wigglytuff
Return,Wigglytuff
Dig,Wigglytuff
Psychic,Wigglytuff
Shadow Ball,Wigglytuff
Brick Break,Wigglytuff
Double Team,Wigglytuff
Reflect,Wigglytuff
Flamethrower,Wigglytuff
Fire Blast,Wigglytuff
Facade,Wigglytuff
Rest,Wigglytuff
Attract,Wigglytuff
Round,Wigglytuff
Echoed Voice,Wigglytuff
Focus Blast,Wigglytuff
Fling,Wigglytuff
Charge Beam,Wigglytuff
Incinerate,Wigglytuff
Retaliate,Wigglytuff
Giga Impact,Wigglytuff
Flash,Wigglytuff
Thunder Wave,Wigglytuff
Gyro Ball,Wigglytuff
Psych Up,Wigglytuff
Dream Eater,Wigglytuff
Grass Knot,Wigglytuff
Swagger,Wigglytuff
Sleep Talk,Wigglytuff
Substitute,Wigglytuff
Wild Charge,Wigglytuff
Secret PowerORAS,Wigglytuff
Power-Up Punch,Wigglytuff
Dazzling Gleam,Wigglytuff
Confide,Wigglytuff
Strength,Wigglytuff
Toxic,Zubat
Venoshock,Zubat
Hidden Power,Zubat
Sunny Day,Zubat
Taunt,Zubat
Protect,Zubat
Rain Dance,Zubat
Roost,Zubat
Frustration,Zubat
Return,Zubat
Shadow Ball,Zubat
Double Team,Zubat
Sludge Bomb,Zubat
Aerial Ace,Zubat
Torment,Zubat
Facade,Zubat
Rest,Zubat
Attract,Zubat
Thief,Zubat
Round,Zubat
Steel Wing,Zubat
Acrobatics,Zubat
Payback,Zubat
Swagger,Zubat
Sleep Talk,Zubat
U-turn,Zubat
Substitute,Zubat
Secret PowerORAS,Zubat
Confide,Zubat
Fly,Zubat
Toxic,Golbat
Venoshock,Golbat
Hidden Power,Golbat
Sunny Day,Golbat
Taunt,Golbat
Hyper Beam,Golbat
Protect,Golbat
Rain Dance,Golbat
Roost,Golbat
Frustration,Golbat
Return,Golbat
Shadow Ball,Golbat
Double Team,Golbat
Sludge Bomb,Golbat
Aerial Ace,Golbat
Torment,Golbat
Facade,Golbat
Rest,Golbat
Attract,Golbat
Thief,Golbat
Round,Golbat
Steel Wing,Golbat
Acrobatics,Golbat
Payback,Golbat
Giga Impact,Golbat
Swagger,Golbat
Sleep Talk,Golbat
U-turn,Golbat
Substitute,Golbat
Secret PowerORAS,Golbat
Confide,Golbat
Fly,Golbat
Toxic,Oddish
Venoshock,Oddish
Hidden Power,Oddish
Sunny Day,Oddish
Protect,Oddish
Frustration,Oddish
Solar Beam,Oddish
Return,Oddish
Double Team,Oddish
Sludge Bomb,Oddish
Facade,Oddish
Rest,Oddish
Attract,Oddish
Round,Oddish
Energy Ball,Oddish
Flash,Oddish
Swords Dance,Oddish
Infestation,Oddish
Grass Knot,Oddish
Swagger,Oddish
Sleep Talk,Oddish
Substitute,Oddish
Secret PowerORAS,Oddish
Nature Power,Oddish
Dazzling Gleam,Oddish
Confide,Oddish
Cut,Oddish
Toxic,Gloom
Venoshock,Gloom
Hidden Power,Gloom
Sunny Day,Gloom
Protect,Gloom
Frustration,Gloom
Solar Beam,Gloom
Return,Gloom
Double Team,Gloom
Sludge Bomb,Gloom
Facade,Gloom
Rest,Gloom
Attract,Gloom
Round,Gloom
Energy Ball,Gloom
Fling,Gloom
Flash,Gloom
Swords Dance,Gloom
Infestation,Gloom
Grass Knot,Gloom
Swagger,Gloom
Sleep Talk,Gloom
Substitute,Gloom
Secret PowerORAS,Gloom
Nature Power,Gloom
Dazzling Gleam,Gloom
Confide,Gloom
Cut,Gloom
Toxic,Vileplume
Venoshock,Vileplume
Hidden Power,Vileplume
Sunny Day,Vileplume
Protect,Vileplume
Frustration,Vileplume
Solar Beam,Vileplume
Return,Vileplume
Double Team,Vileplume
Sludge Bomb,Vileplume
Facade,Vileplume
Rest,Vileplume
Attract,Vileplume
Round,Vileplume
Energy Ball,Vileplume
Fling,Vileplume
Flash,Vileplume
Swords Dance,Vileplume
Infestation,Vileplume
Grass Knot,Vileplume
Swagger,Vileplume
Sleep Talk,Vileplume
Substitute,Vileplume
Secret PowerORAS,Vileplume
Nature Power,Vileplume
Dazzling Gleam,Vileplume
Confide,Vileplume
Cut,Vileplume
Hone Claws,Paras
Toxic,Paras
Venoshock,Paras
Hidden Power,Paras
Sunny Day,Paras
Light Screen,Paras
Protect,Paras
Frustration,Paras
Solar Beam,Paras
Return,Paras
Dig,Paras
Brick Break,Paras
Double Team,Paras
Sludge Bomb,Paras
Aerial Ace,Paras
Facade,Paras
Rest,Paras
Attract,Paras
Thief,Paras
Round,Paras
Energy Ball,Paras
False Swipe,Paras
Flash,Paras
Swords Dance,Paras
Struggle Bug,Paras
X-Scissor,Paras
Grass Knot,Paras
Swagger,Paras
Sleep Talk,Paras
Substitute,Paras
Rock SmashXY,Paras
Secret PowerORAS,Paras
Nature Power,Paras
Confide,Paras
Cut,Paras
Rock SmashORAS,Paras
Hone Claws,Parasect
Toxic,Parasect
Venoshock,Parasect
Hidden Power,Parasect
Sunny Day,Parasect
Hyper Beam,Parasect
Light Screen,Parasect
Protect,Parasect
Frustration,Parasect
Solar Beam,Parasect
Return,Parasect
Dig,Parasect
Brick Break,Parasect
Double Team,Parasect
Sludge Bomb,Parasect
Aerial Ace,Parasect
Facade,Parasect
Rest,Parasect
Attract,Parasect
Thief,Parasect
Round,Parasect
Energy Ball,Parasect
False Swipe,Parasect
Giga Impact,Parasect
Flash,Parasect
Swords Dance,Parasect
Struggle Bug,Parasect
X-Scissor,Parasect
Grass Knot,Parasect
Swagger,Parasect
Sleep Talk,Parasect
Substitute,Parasect
Rock SmashXY,Parasect
Secret PowerORAS,Parasect
Nature Power,Parasect
Confide,Parasect
Cut,Parasect
Rock SmashORAS,Parasect
Toxic,Venonat
Venoshock,Venonat
Hidden Power,Venonat
Sunny Day,Venonat
Protect,Venonat
Frustration,Venonat
Solar Beam,Venonat
Return,Venonat
Psychic,Venonat
Double Team,Venonat
Sludge Bomb,Venonat
Facade,Venonat
Rest,Venonat
Attract,Venonat
Thief,Venonat
Round,Venonat
Flash,Venonat
Struggle Bug,Venonat
Infestation,Venonat
Swagger,Venonat
Sleep Talk,Venonat
Substitute,Venonat
Secret PowerORAS,Venonat
Confide,Venonat
Toxic,Venomoth
Venoshock,Venomoth
Hidden Power,Venomoth
Sunny Day,Venomoth
Hyper Beam,Venomoth
Protect,Venomoth
Frustration,Venomoth
Solar Beam,Venomoth
Return,Venomoth
Psychic,Venomoth
Double Team,Venomoth
Sludge Bomb,Venomoth
Aerial Ace,Venomoth
Facade,Venomoth
Rest,Venomoth
Attract,Venomoth
Thief,Venomoth
Round,Venomoth
Energy Ball,Venomoth
Acrobatics,Venomoth
Giga Impact,Venomoth
Flash,Venomoth
Struggle Bug,Venomoth
Infestation,Venomoth
Swagger,Venomoth
Sleep Talk,Venomoth
U-turn,Venomoth
Substitute,Venomoth
Secret PowerORAS,Venomoth
Confide,Venomoth
Hone Claws,Diglett
Toxic,Diglett
Hidden Power,Diglett
Sunny Day,Diglett
Protect,Diglett
Frustration,Diglett
Earthquake,Diglett
Return,Diglett
Dig,Diglett
Double Team,Diglett
Sludge Bomb,Diglett
Sandstorm,Diglett
Rock Tomb,Diglett
Aerial Ace,Diglett
Facade,Diglett
Rest,Diglett
Attract,Diglett
Thief,Diglett
Round,Diglett
Echoed Voice,Diglett
Shadow Claw,Diglett
Bulldoze,Diglett
Rock Slide,Diglett
Swagger,Diglett
Sleep Talk,Diglett
Substitute,Diglett
Rock SmashXY,Diglett
Secret PowerORAS,Diglett
Confide,Diglett
Cut,Diglett
Rock SmashORAS,Diglett
Hone Claws,Dugtrio
Toxic,Dugtrio
Hidden Power,Dugtrio
Sunny Day,Dugtrio
Hyper Beam,Dugtrio
Protect,Dugtrio
Frustration,Dugtrio
Earthquake,Dugtrio
Return,Dugtrio
Dig,Dugtrio
Double Team,Dugtrio
Sludge Wave,Dugtrio
Sludge Bomb,Dugtrio
Sandstorm,Dugtrio
Rock Tomb,Dugtrio
Aerial Ace,Dugtrio
Facade,Dugtrio
Rest,Dugtrio
Attract,Dugtrio
Thief,Dugtrio
Round,Dugtrio
Echoed Voice,Dugtrio
Shadow Claw,Dugtrio
Giga Impact,Dugtrio
Stone Edge,Dugtrio
Bulldoze,Dugtrio
Rock Slide,Dugtrio
Swagger,Dugtrio
Sleep Talk,Dugtrio
Substitute,Dugtrio
Rock SmashXY,Dugtrio
Secret PowerORAS,Dugtrio
Confide,Dugtrio
Cut,Dugtrio
Rock SmashORAS,Dugtrio
Hone Claws,Meowth
Toxic,Meowth
Hidden Power,Meowth
Sunny Day,Meowth
Taunt,Meowth
Protect,Meowth
Rain Dance,Meowth
Frustration,Meowth
Thunderbolt,Meowth
Thunder,Meowth
Return,Meowth
Dig,Meowth
Shadow Ball,Meowth
Double Team,Meowth
Aerial Ace,Meowth
Torment,Meowth
Facade,Meowth
Rest,Meowth
Attract,Meowth
Thief,Meowth
Round,Meowth
Echoed Voice,Meowth
Shadow Claw,Meowth
Payback,Meowth
Retaliate,Meowth
Flash,Meowth
Psych Up,Meowth
Dream Eater,Meowth
Swagger,Meowth
Sleep Talk,Meowth
U-turn,Meowth
Substitute,Meowth
Secret PowerORAS,Meowth
Dark Pulse,Meowth
Confide,Meowth
Cut,Meowth
Hone Claws,Persian
Roar,Persian
Toxic,Persian
Hidden Power,Persian
Sunny Day,Persian
Taunt,Persian
Hyper Beam,Persian
Protect,Persian
Rain Dance,Persian
Frustration,Persian
Thunderbolt,Persian
Thunder,Persian
Return,Persian
Dig,Persian
Shadow Ball,Persian
Double Team,Persian
Aerial Ace,Persian
Torment,Persian
Facade,Persian
Rest,Persian
Attract,Persian
Thief,Persian
Round,Persian
Echoed Voice,Persian
Embargo,Persian
Shadow Claw,Persian
Payback,Persian
Retaliate,Persian
Giga Impact,Persian
Flash,Persian
Psych Up,Persian
Dream Eater,Persian
Swagger,Persian
Sleep Talk,Persian
U-turn,Persian
Substitute,Persian
Secret PowerORAS,Persian
Dark Pulse,Persian
Confide,Persian
Cut,Persian
Hone Claws,Psyduck
Psyshock,Psyduck
Calm Mind,Psyduck
Toxic,Psyduck
Hail,Psyduck
Hidden Power,Psyduck
Ice Beam,Psyduck
Blizzard,Psyduck
Light Screen,Psyduck
Protect,Psyduck
Rain Dance,Psyduck
Frustration,Psyduck
Return,Psyduck
Dig,Psyduck
Psychic,Psyduck
Brick Break,Psyduck
Double Team,Psyduck
Aerial Ace,Psyduck
Facade,Psyduck
Rest,Psyduck
Attract,Psyduck
Round,Psyduck
Scald,Psyduck
Fling,Psyduck
Shadow Claw,Psyduck
Flash,Psyduck
Psych Up,Psyduck
Swagger,Psyduck
Sleep Talk,Psyduck
Substitute,Psyduck
Rock SmashXY,Psyduck
Secret PowerORAS,Psyduck
Power-Up Punch,Psyduck
Confide,Psyduck
Surf,Psyduck
Strength,Psyduck
Waterfall,Psyduck
Rock SmashORAS,Psyduck
DiveORAS,Psyduck
Hone Claws,Golduck
Psyshock,Golduck
Calm Mind,Golduck
Toxic,Golduck
Hail,Golduck
Hidden Power,Golduck
Ice Beam,Golduck
Blizzard,Golduck
Hyper Beam,Golduck
Light Screen,Golduck
Protect,Golduck
Rain Dance,Golduck
Frustration,Golduck
Return,Golduck
Dig,Golduck
Psychic,Golduck
Brick Break,Golduck
Double Team,Golduck
Aerial Ace,Golduck
Facade,Golduck
Rest,Golduck
Attract,Golduck
Low Sweep,Golduck
Round,Golduck
Focus Blast,Golduck
Scald,Golduck
Fling,Golduck
Shadow Claw,Golduck
Giga Impact,Golduck
Flash,Golduck
Psych Up,Golduck
Swagger,Golduck
Sleep Talk,Golduck
Substitute,Golduck
Rock SmashXY,Golduck
Secret PowerORAS,Golduck
Power-Up Punch,Golduck
Confide,Golduck
Surf,Golduck
Strength,Golduck
Waterfall,Golduck
Rock SmashORAS,Golduck
DiveORAS,Golduck
Hone Claws,Mankey
Toxic,Mankey
Bulk Up,Mankey
Hidden Power,Mankey
Sunny Day,Mankey
Taunt,Mankey
Protect,Mankey
Rain Dance,Mankey
Frustration,Mankey
Smack Down,Mankey
Thunderbolt,Mankey
Thunder,Mankey
Earthquake,Mankey
Return,Mankey
Dig,Mankey
Brick Break,Mankey
Double Team,Mankey
Rock Tomb,Mankey
Aerial Ace,Mankey
Facade,Mankey
Rest,Mankey
Attract,Mankey
Thief,Mankey
Low Sweep,Mankey
Round,Mankey
Overheat,Mankey
Focus Blast,Mankey
Fling,Mankey
Acrobatics,Mankey
Payback,Mankey
Retaliate,Mankey
Bulldoze,Mankey
Rock Slide,Mankey
Poison Jab,Mankey
Swagger,Mankey
Sleep Talk,Mankey
U-turn,Mankey
Substitute,Mankey
Rock SmashXY,Mankey
Secret PowerORAS,Mankey
Power-Up Punch,Mankey
Confide,Mankey
Strength,Mankey
Rock SmashORAS,Mankey
Hone Claws,Primeape
Toxic,Primeape
Bulk Up,Primeape
Hidden Power,Primeape
Sunny Day,Primeape
Taunt,Primeape
Hyper Beam,Primeape
Protect,Primeape
Rain Dance,Primeape
Frustration,Primeape
Smack Down,Primeape
Thunderbolt,Primeape
Thunder,Primeape
Earthquake,Primeape
Return,Primeape
Dig,Primeape
Brick Break,Primeape
Double Team,Primeape
Rock Tomb,Primeape
Aerial Ace,Primeape
Facade,Primeape
Rest,Primeape
Attract,Primeape
Thief,Primeape
Low Sweep,Primeape
Round,Primeape
Overheat,Primeape
Focus Blast,Primeape
Fling,Primeape
Acrobatics,Primeape
Payback,Primeape
Retaliate,Primeape
Giga Impact,Primeape
Stone Edge,Primeape
Bulldoze,Primeape
Rock Slide,Primeape
Poison Jab,Primeape
Swagger,Primeape
Sleep Talk,Primeape
U-turn,Primeape
Substitute,Primeape
Rock SmashXY,Primeape
Secret PowerORAS,Primeape
Power-Up Punch,Primeape
Confide,Primeape
Strength,Primeape
Rock SmashORAS,Primeape
Roar,Growlithe
Toxic,Growlithe
Hidden Power,Growlithe
Sunny Day,Growlithe
Protect,Growlithe
Safeguard,Growlithe
Frustration,Growlithe
Return,Growlithe
Dig,Growlithe
Double Team,Growlithe
Flamethrower,Growlithe
Fire Blast,Growlithe
Aerial Ace,Growlithe
Facade,Growlithe
Flame Charge,Growlithe
Rest,Growlithe
Attract,Growlithe
Thief,Growlithe
Round,Growlithe
Overheat,Growlithe
Incinerate,Growlithe
Will-O-Wisp,Growlithe
Retaliate,Growlithe
Swagger,Growlithe
Sleep Talk,Growlithe
Substitute,Growlithe
Wild Charge,Growlithe
Rock SmashXY,Growlithe
Secret PowerORAS,Growlithe
Snarl,Growlithe
Confide,Growlithe
Strength,Growlithe
Rock SmashORAS,Growlithe
Roar,Arcanine
Toxic,Arcanine
Hidden Power,Arcanine
Sunny Day,Arcanine
Hyper Beam,Arcanine
Protect,Arcanine
Safeguard,Arcanine
Frustration,Arcanine
Solar Beam,Arcanine
Return,Arcanine
Dig,Arcanine
Double Team,Arcanine
Flamethrower,Arcanine
Fire Blast,Arcanine
Aerial Ace,Arcanine
Facade,Arcanine
Flame Charge,Arcanine
Rest,Arcanine
Attract,Arcanine
Thief,Arcanine
Round,Arcanine
Overheat,Arcanine
Incinerate,Arcanine
Will-O-Wisp,Arcanine
Retaliate,Arcanine
Giga Impact,Arcanine
Bulldoze,Arcanine
Swagger,Arcanine
Sleep Talk,Arcanine
Substitute,Arcanine
Wild Charge,Arcanine
Rock SmashXY,Arcanine
Secret PowerORAS,Arcanine
Snarl,Arcanine
Confide,Arcanine
Strength,Arcanine
Rock SmashORAS,Arcanine
Toxic,Poliwag
Hail,Poliwag
Hidden Power,Poliwag
Ice Beam,Poliwag
Blizzard,Poliwag
Protect,Poliwag
Rain Dance,Poliwag
Frustration,Poliwag
Return,Poliwag
Dig,Poliwag
Psychic,Poliwag
Double Team,Poliwag
Facade,Poliwag
Rest,Poliwag
Attract,Poliwag
Thief,Poliwag
Round,Poliwag
Scald,Poliwag
Swagger,Poliwag
Sleep Talk,Poliwag
Substitute,Poliwag
Secret PowerORAS,Poliwag
Confide,Poliwag
Surf,Poliwag
Waterfall,Poliwag
DiveORAS,Poliwag
Toxic,Poliwhirl
Hail,Poliwhirl
Hidden Power,Poliwhirl
Ice Beam,Poliwhirl
Blizzard,Poliwhirl
Protect,Poliwhirl
Rain Dance,Poliwhirl
Frustration,Poliwhirl
Earthquake,Poliwhirl
Return,Poliwhirl
Dig,Poliwhirl
Psychic,Poliwhirl
Brick Break,Poliwhirl
Double Team,Poliwhirl
Facade,Poliwhirl
Rest,Poliwhirl
Attract,Poliwhirl
Thief,Poliwhirl
Round,Poliwhirl
Scald,Poliwhirl
Fling,Poliwhirl
Bulldoze,Poliwhirl
Swagger,Poliwhirl
Sleep Talk,Poliwhirl
Substitute,Poliwhirl
Rock SmashXY,Poliwhirl
Secret PowerORAS,Poliwhirl
Power-Up Punch,Poliwhirl
Confide,Poliwhirl
Surf,Poliwhirl
Strength,Poliwhirl
Waterfall,Poliwhirl
Rock SmashORAS,Poliwhirl
DiveORAS,Poliwhirl
Toxic,Poliwrath
Hail,Poliwrath
Bulk Up,Poliwrath
Hidden Power,Poliwrath
Ice Beam,Poliwrath
Blizzard,Poliwrath
Hyper Beam,Poliwrath
Protect,Poliwrath
Rain Dance,Poliwrath
Frustration,Poliwrath
Earthquake,Poliwrath
Return,Poliwrath
Dig,Poliwrath
Psychic,Poliwrath
Brick Break,Poliwrath
Double Team,Poliwrath
Rock Tomb,Poliwrath
Facade,Poliwrath
Rest,Poliwrath
Attract,Poliwrath
Thief,Poliwrath
Low Sweep,Poliwrath
Round,Poliwrath
Focus Blast,Poliwrath
Scald,Poliwrath
Fling,Poliwrath
Payback,Poliwrath
Giga Impact,Poliwrath
Bulldoze,Poliwrath
Rock Slide,Poliwrath
Poison Jab,Poliwrath
Swagger,Poliwrath
Sleep Talk,Poliwrath
Rock SmashXY,Poliwrath
Secret PowerORAS,Poliwrath
Power-Up Punch,Poliwrath
Confide,Poliwrath
Surf,Poliwrath
Strength,Poliwrath
Waterfall,Poliwrath
Rock SmashORAS,Poliwrath
DiveORAS,Poliwrath
Psyshock,Abra
Calm Mind,Abra
Toxic,Abra
Hidden Power,Abra
Sunny Day,Abra
Taunt,Abra
Light Screen,Abra
Protect,Abra
Rain Dance,Abra
Safeguard,Abra
Frustration,Abra
Return,Abra
Psychic,Abra
Shadow Ball,Abra
Double Team,Abra
Reflect,Abra
Torment,Abra
Facade,Abra
Rest,Abra
Attract,Abra
Thief,Abra
Round,Abra
Energy Ball,Abra
Fling,Abra
Charge Beam,Abra
Embargo,Abra
Flash,Abra
Thunder Wave,Abra
Psych Up,Abra
Dream Eater,Abra
Grass Knot,Abra
Swagger,Abra
Sleep Talk,Abra
Substitute,Abra
Trick Room,Abra
Secret PowerORAS,Abra
Dazzling Gleam,Abra
Confide,Abra
Psyshock,Kadabra
Calm Mind,Kadabra
Toxic,Kadabra
Hidden Power,Kadabra
Sunny Day,Kadabra
Taunt,Kadabra
Light Screen,Kadabra
Protect,Kadabra
Rain Dance,Kadabra
Safeguard,Kadabra
Frustration,Kadabra
Return,Kadabra
Psychic,Kadabra
Shadow Ball,Kadabra
Double Team,Kadabra
Reflect,Kadabra
Torment,Kadabra
Facade,Kadabra
Rest,Kadabra
Attract,Kadabra
Thief,Kadabra
Round,Kadabra
Energy Ball,Kadabra
Fling,Kadabra
Charge Beam,Kadabra
Embargo,Kadabra
Flash,Kadabra
Thunder Wave,Kadabra
Psych Up,Kadabra
Dream Eater,Kadabra
Grass Knot,Kadabra
Swagger,Kadabra
Sleep Talk,Kadabra
Substitute,Kadabra
Trick Room,Kadabra
Secret PowerORAS,Kadabra
Dazzling Gleam,Kadabra
Confide,Kadabra
Psyshock,Alakazam
Calm Mind,Alakazam
Toxic,Alakazam
Hidden Power,Alakazam
Sunny Day,Alakazam
Taunt,Alakazam
Hyper Beam,Alakazam
Light Screen,Alakazam
Protect,Alakazam
Rain Dance,Alakazam
Safeguard,Alakazam
Frustration,Alakazam
Return,Alakazam
Psychic,Alakazam
Shadow Ball,Alakazam
Double Team,Alakazam
Reflect,Alakazam
Torment,Alakazam
Facade,Alakazam
Rest,Alakazam
Attract,Alakazam
Thief,Alakazam
Round,Alakazam
Focus Blast,Alakazam
Energy Ball,Alakazam
Fling,Alakazam
Charge Beam,Alakazam
Embargo,Alakazam
Giga Impact,Alakazam
Flash,Alakazam
Thunder Wave,Alakazam
Psych Up,Alakazam
Dream Eater,Alakazam
Grass Knot,Alakazam
Swagger,Alakazam
Sleep Talk,Alakazam
Substitute,Alakazam
Trick Room,Alakazam
Secret PowerORAS,Alakazam
Dazzling Gleam,Alakazam
Confide,Alakazam
Toxic,Machop
Bulk Up,Machop
Hidden Power,Machop
Sunny Day,Machop
Light Screen,Machop
Protect,Machop
Rain Dance,Machop
Frustration,Machop
Smack Down,Machop
Earthquake,Machop
Return,Machop
Dig,Machop
Brick Break,Machop
Double Team,Machop
Flamethrower,Machop
Fire Blast,Machop
Rock Tomb,Machop
Facade,Machop
Rest,Machop
Attract,Machop
Thief,Machop
Low Sweep,Machop
Round,Machop
Focus Blast,Machop
Fling,Machop
Incinerate,Machop
Payback,Machop
Retaliate,Machop
Bulldoze,Machop
Rock Slide,Machop
Poison Jab,Machop
Swagger,Machop
Sleep Talk,Machop
Substitute,Machop
Rock SmashXY,Machop
Secret PowerORAS,Machop
Power-Up Punch,Machop
Strength,Machop
Rock SmashORAS,Machop
Toxic,Machoke
Bulk Up,Machoke
Hidden Power,Machoke
Sunny Day,Machoke
Light Screen,Machoke
Protect,Machoke
Rain Dance,Machoke
Frustration,Machoke
Smack Down,Machoke
Earthquake,Machoke
Return,Machoke
Dig,Machoke
Brick Break,Machoke
Double Team,Machoke
Flamethrower,Machoke
Fire Blast,Machoke
Rock Tomb,Machoke
Facade,Machoke
Rest,Machoke
Attract,Machoke
Thief,Machoke
Low Sweep,Machoke
Round,Machoke
Focus Blast,Machoke
Fling,Machoke
Incinerate,Machoke
Payback,Machoke
Retaliate,Machoke
Bulldoze,Machoke
Rock Slide,Machoke
Poison Jab,Machoke
Swagger,Machoke
Sleep Talk,Machoke
Substitute,Machoke
Rock SmashXY,Machoke
Secret PowerORAS,Machoke
Power-Up Punch,Machoke
Strength,Machoke
Rock SmashORAS,Machoke
Toxic,Machamp
Bulk Up,Machamp
Hidden Power,Machamp
Sunny Day,Machamp
Hyper Beam,Machamp
Light Screen,Machamp
Protect,Machamp
Rain Dance,Machamp
Frustration,Machamp
Smack Down,Machamp
Earthquake,Machamp
Return,Machamp
Dig,Machamp
Brick Break,Machamp
Double Team,Machamp
Flamethrower,Machamp
Fire Blast,Machamp
Rock Tomb,Machamp
Facade,Machamp
Rest,Machamp
Attract,Machamp
Thief,Machamp
Low Sweep,Machamp
Round,Machamp
Focus Blast,Machamp
Fling,Machamp
Incinerate,Machamp
Payback,Machamp
Retaliate,Machamp
Giga Impact,Machamp
Stone Edge,Machamp
Bulldoze,Machamp
Rock Slide,Machamp
Poison Jab,Machamp
Swagger,Machamp
Sleep Talk,Machamp
Substitute,Machamp
Rock SmashXY,Machamp
Secret PowerORAS,Machamp
Power-Up Punch,Machamp
Strength,Machamp
Rock SmashORAS,Machamp
Toxic,Bellsprout
Venoshock,Bellsprout
Hidden Power,Bellsprout
Sunny Day,Bellsprout
Protect,Bellsprout
Frustration,Bellsprout
SolarBeam,Bellsprout
Return,Bellsprout
Double Team,Bellsprout
Reflect,Bellsprout
Sludge Bomb,Bellsprout
Facade,Bellsprout
Rest,Bellsprout
Attract,Bellsprout
Thief,Bellsprout
Round,Bellsprout
Energy Ball,Bellsprout
Flash,Bellsprout
Swords Dance,Bellsprout
Infestation,Bellsprout
Grass Knot,Bellsprout
Swagger,Bellsprout
Sleep Talk,Bellsprout
Substitute,Bellsprout
Secret PowerORAS,Bellsprout
Nature Power,Bellsprout
Confide,Bellsprout
Cut,Bellsprout
Toxic,Weepinbell
Venoshock,Weepinbell
Hidden Power,Weepinbell
Sunny Day,Weepinbell
Protect,Weepinbell
Frustration,Weepinbell
Solar Beam,Weepinbell
Return,Weepinbell
Double Team,Weepinbell
Reflect,Weepinbell
Sludge Bomb,Weepinbell
Facade,Weepinbell
Rest,Weepinbell
Attract,Weepinbell
Thief,Weepinbell
Round,Weepinbell
Energy Ball,Weepinbell
Flash,Weepinbell
Swords Dance,Weepinbell
Infestation,Weepinbell
Grass Knot,Weepinbell
Swagger,Weepinbell
Sleep Talk,Weepinbell
Substitute,Weepinbell
Secret PowerORAS,Weepinbell
Nature Power,Weepinbell
Confide,Weepinbell
Cut,Weepinbell
Toxic,Victreebel
Venoshock,Victreebel
